LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2619098,37.8374332,5110,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,fe2c0215b85bd442
-122.2612466,37.8374809,5107,CLARKE ST,,OAKLAND,,,94609,14-1226-15,052b38a3a884ea79
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616911,37.8372656,476,51ST ST,,OAKLAND,,,94609,14-1226-7-4,558f728f8ef69a1f
-122.2614891,37.8372311,466,51ST ST,,OAKLAND,,,94609,14-1226-6-4,bb173c5ffcd6d4a0
-122.2612846,37.837199,462,51ST ST,,OAKLAND,,,94609,14-1226-5-4,fb11de60fc3fce45
-122.2611473,37.8371821,458,51ST ST,,OAKLAND,,,94609,14-1226-4-5,2dbdd5135140eabd
-122.2610105,37.8371656,450,51ST ST,,OAKLAND,,,94609,14-1226-3-5,a0c8f7c2dfec96af
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2619098,37.8374332,5110,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,fe2c0215b85bd442
-122.2612466,37.8374809,5107,CLARKE ST,,OAKLAND,,,94609,14-1226-15,052b38a3a884ea79
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616911,37.8372656,476,51ST ST,,OAKLAND,,,94609,14-1226-7-4,558f728f8ef69a1f
-122.2614891,37.8372311,466,51ST ST,,OAKLAND,,,94609,14-1226-6-4,bb173c5ffcd6d4a0
-122.2612846,37.837199,462,51ST ST,,OAKLAND,,,94609,14-1226-5-4,fb11de60fc3fce45
-122.2611473,37.8371821,458,51ST ST,,OAKLAND,,,94609,14-1226-4-5,2dbdd5135140eabd
-122.2610105,37.8371656,450,51ST ST,,OAKLAND,,,94609,14-1226-3-5,a0c8f7c2dfec96af
-122.2610105,37.8371656,450,51ST ST,,OAKLAND,,,94609,14-1226-3-5,a0c8f7c2dfec96af
-122.2610105,37.8371656,450,51ST ST,,OAKLAND,,,94609,14-1226-3-5,a0c8f7c2dfec96af
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2619098,37.8374332,5110,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,fe2c0215b85bd442
-122.2612466,37.8374809,5107,CLARKE ST,,OAKLAND,,,94609,14-1226-15,052b38a3a884ea79
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2619098,37.8374332,5110,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,fe2c0215b85bd442
-122.2612466,37.8374809,5107,CLARKE ST,,OAKLAND,,,94609,14-1226-15,052b38a3a884ea79
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616911,37.8372656,476,51ST ST,,OAKLAND,,,94609,14-1226-7-4,558f728f8ef69a1f
-122.2619594,37.8373034,5100,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-8-2,5be8273266922da0
-122.2616716,37.8377292,5132,TELEGRAPH AV,,OAKLAND,,,94609,14-1226-15,2b13400a4d483c21
-122.2616911,37.8372656,476,51ST ST,,OAKLAND,,,94609,14-1226-7-4,558f728f8ef69a1f